CustomerID,City,Zip Code,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV,Monthly_Charges_bin,Total_Charges_bin,Tenure_Months_bin
3668-QPYBK,Los Angeles,90003,Male,Young,0,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,86,3239,Mid,Low,0-3
9237-HQITU,Los Angeles,90005,Female,Young,0,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,67,2701,High,Low,0-3
9305-CDSKC,Los Angeles,90006,Female,Young,0,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,86,5372,Very High,Mid,6-12
7892-POOKP,Los Angeles,90010,Female,Young,1,Yes,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,84,5003,Very High,High,+25
0280-XJGEX,Los Angeles,90015,Male,Young,0,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,89,5340,Very High,High,+25
4190-MFLUW,Los Angeles,90020,Female,Young,1,No,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1,78,5925,Mid,Low,6-12
8779-QRDMV,Los Angeles,90022,Male,Senior,0,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,1,100,5433,Mid,Low,0-3
1066-JKSGK,Los Angeles,90024,Male,Young,0,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,1,92,4832,Low,Low,0-3
6467-CHFZW,Los Angeles,90028,Male,Young,1,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,77,5789,Very High,High,+25
8665-UTDHZ,Los Angeles,90029,Male,Young,1,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,97,2915,Low,Low,0-3
